EC	EC	-8.77643595130536
EF	EC	-11.2996614653955
EP	EC	-2.62379924585053
ETM	EC	-10.6545235040219
ETN	EC	-9.9133671042756
IC	EC	-14.0722501876353
JKB	EC	-11.43319285802
JKO	EC	-14.7653973681952
JKS	EC	-11.43319285802
JX	EC	-12.3675020953968
MAJ	EC	-14.7653973681952
MAG	EC	-11.8750256102991
MM	EC	-13.1559594557611
NNA	EC	-8.95425637521852
NNB	EC	-11.4695605021909
NP	EC	-11.6299031522661
NR	EC	-13.1559594557611
SE	EC	-14.7653973681952
SF	EC	-13.6667850795271
SO	EC	-12.568172790859
SP	EC	-12.568172790859
SS	EC	-6.18204197452531
SW	EC	-14.0722501876353
VA	EC	-2.4975243217596
VCN	EC	-4.33502385234659
VCP	EC	-2.62358061707865
VV	EC	-0.683362748192195
VX	EC	-2.46078793577875
XPN	EC	-14.7653973681952
XR	EC	-11.7696650946412
XSA	EC	-3.23423913496393
XSN	EC	-12.3675020953968
XSV	EC	-2.06080045123871
EC	EF	-9.26521536407773
EF	EF	-10.660093468889
EP	EF	-0.858497360418232
ETM	EF	-9.70990118533918
ETN	EF	-10.6261919172133
IC	EF	-13.3342421183155
JKB	EF	-13.3342421183155
JKO	EF	-12.2356298296474
JKS	EF	-10.5010287742593
JX	EF	-11.1941759548193
MAJ	EF	-11.8301647215393
MAG	EF	-12.2356298296474
MM	EF	-12.9287770102074
NNA	EF	-9.47351240727495
NNB	EF	-10.6951847887003
NP	EF	-11.4624399414139
SE	EF	-13.3342421183155
SF	EF	-14.0273892988755
SO	EF	-12.9287770102074
SP	EF	-14.0273892988755
SS	EF	-10.4164713862313
VA	EF	-2.83701344168611
VCN	EF	-4.17041700008083
VCP	EF	-1.65885347540163
VV	EF	-1.89157282245679
VX	EF	-2.2277972769148
XR	EF	-13.3342421183155
XSA	EF	-4.1001363927891
XSN	EF	-12.6410949377556
XSV	EF	-3.31840850594787
EC	EP	-7.74271937680885
EP	EP	-4.47297139885223
ETM	EP	-12.9384501545818
ETN	EP	-12.9384501545818
IC	EP	-13.6315973351417
JKS	EP	-10.3735007971203
MAG	EP	-12.5329850464736
NNA	EP	-9.89392771685837
NNB	EP	-13.6315973351417
NP	EP	-11.6856871860864
NR	EP	-13.6315973351417
SE	EP	-13.6315973351417
SS	EP	-11.1466906853537
VA	EP	-2.81422193534776
VCN	EP	-4.73063946259667
VCP	EP	-2.31673264111825
VV	EP	-0.807136077412544
VX	EP	-1.64261161934324
XR	EP	-12.9384501545818
XSA	EP	-3.85169084437696
XSN	EP	-12.5329850464736
XSV	EP	-1.83377116213011
EC	ETM	-10.0067513716612
EF	ETM	-13.1202666808716
EP	ETM	-3.02984323399075
ETM	ETM	-11.5108287684375
ETN	ETM	-11.0408251391917
IC	ETM	-13.8134138614315
JKB	ETM	-11.139265212005
JKO	ETM	-14.5065610419915
JX	ETM	-13.4079487533234
MAG	ETM	-12.8971231295574
MM	ETM	-14.5065610419915
NNA	ETM	-8.7928282364821
NNB	ETM	-11.9416116845299
NP	ETM	-12.3093364646552
NR	ETM	-12.4271195003116
SE	ETM	-13.1202666808716
SF	ETM	-13.8134138614315
SO	ETM	-13.8134138614315
SP	ETM	-12.4271195003116
SS	ETM	-6.00549723250511
SW	ETM	-14.5065610419915
VA	ETM	-2.03266215272086
VCN	ETM	-5.38548913777347
VCP	ETM	-2.57631436444154
VV	ETM	-0.977952860520882
VX	ETM	-2.17117212499124
XR	ETM	-13.8134138614315
XSA	ETM	-2.3827293518452
XSN	ETM	-10.8956431293472
XSV	ETM	-1.86511826773493
EC	ETN	-6.76474926751493
EF	ETN	-9.66891434754343
EP	ETN	-2.62779435649387
ETM	ETN	-10.2079108482761
ETN	ETN	-10.7675266362115
IC	ETN	-12.1538209973314
JKS	ETN	-11.0552087086633
MAG	ETN	-12.1538209973314
NNA	ETN	-8.59847293584202
SE	ETN	-11.4606738167715
SP	ETN	-11.4606738167715
SS	ETN	-9.85123590433739
VA	ETN	-2.70880383822737
VCN	ETN	-5.44086479665436
VCP	ETN	-2.57731089985473
VV	ETN	-0.85034576654341
VX	ETN	-2.31045506813668
XSA	ETN	-2.87741202538554
XSN	ETN	-12.1538209973314
XSV	ETN	-1.62707239169952
EC	IC	-9.65643545617024
EF	IC	-6.19069955337052
IC	IC	-6.88384673393046
JKV	IC	-8.9632882756103
JX	IC	-8.9632882756103
MM	IC	-9.65643545617024
NNA	IC	-6.76606369827408
NP	IC	-9.65643545617024
SE	IC	-4.70767556579207
SF	IC	-8.04699754373614
SO	IC	-7.25854018337187
SP	IC	-6.10108739468083
SS	IC	-0.0183467678454381
SW	IC	-7.09148609870871
VCP	IC	-8.55782316750213
VV	IC	-8.55782316750213
EC	JC	-7.65152245038859
EF	JC	-9.11785951918202
ETM	JC	-12.29591334953
ETN	JC	-5.01109243696136
IC	JC	-11.60276616897
JC	JC	-12.29591334953
JKB	JC	-6.25804242960783
JKS	JC	-10.6864754370959
JX	JC	-9.25139091180654
MAG	JC	-9.30018107597597
MM	JC	-12.29591334953
NNA	JC	-0.128945423880551
NNB	JC	-3.92977563303368
NP	JC	-4.68555573121713
NR	JC	-6.12630261703851
SP	JC	-7.95210792767628
SS	JC	-3.24199289682508
SW	JC	-7.39063857109153
VCP	JC	-11.1973010608619
VV	JC	-10.6864754370959
VX	JC	-12.29591334953
XPN	JC	-11.1973010608619
XR	JC	-8.13703026617029
XSA	JC	-12.29591334953
XSN	JC	-3.2161373475749
XSV	JC	-12.29591334953
EC	JKC	-4.92747973704302
