EC	IC	-1.99324366619204
EF	IC	-3.3946203773858
ETM	IC	-3.83711551294401
ETN	IC	-8.18092093479769
IC	IC	-1.85707413632002
JC	IC	-4.68441337333121
JKC	IC	-7.35424236161322
JKG	IC	-4.78449683188819
JKV	IC	-7.29361773979679
JKB	IC	-3.03093786275547
JKO	IC	-4.23242824958815
JKQ	IC	-9.43368390329306
JKS	IC	-2.90280627556717
JX	IC	-2.52193660304138
MAJ	IC	-2.94296036879055
MAG	IC	-2.30358539316748
MM	IC	-3.80606278960242
NNA	IC	-2.96598517718871
NNB	IC	-4.85383152528926
NP	IC	-3.96351627981836
NR	IC	-6.38916146556964
SE	IC	-3.95096381374724
SF	IC	-8.33507161462495
SO	IC	-8.74053672273311
SP	IC	-1.99031283173771
SS	IC	-4.03326131380787
SW	IC	-8.18092093479769
XPN	IC	-10.126831083853
XSN	IC	-5.09639316246057
EC	JC	-3.2188758248682
EF	JC	-3.2188758248682
JKG	JC	-3.2188758248682
MAG	JC	-3.2188758248682
NNA	JC	-1.42711635564015
NNB	JC	-3.2188758248682
NR	JC	-1.83258146374831
SE	JC	-3.2188758248682
SP	JC	-2.52572864430826
SS	JC	-1.27296567581289
EC	MAJ	-2.07180051687696
EF	MAJ	-3.5902962890775
ETM	MAJ	-4.26494345589353
ETN	MAJ	-6.5493645782599
IC	MAJ	-3.10064768062977
JC	MAJ	-5.07231585387155
JKG	MAJ	-5.79794848957598
JKV	MAJ	-8.26416300635183
JKB	MAJ	-3.62620299754075
JKO	MAJ	-4.58085459728735
JKQ	MAJ	-8.66962811445999
JKS	MAJ	-3.84666198348429
JX	MAJ	-2.41132216077208
MAJ	MAJ	-4.52914239624004
MAG	MAJ	-3.92614631267439
MM	MAJ	-6.14389947015174
NNA	MAJ	-1.75043845785219
NNB	MAJ	-4.8088984034194
NP	MAJ	-4.9683261403475
NR	MAJ	-6.61123998197799
SE	MAJ	-4.38834304958764
SF	MAJ	-9.07509322256816
SO	MAJ	-9.7682404031281
SP	MAJ	-1.05589169693782
SS	MAJ	-3.57179627533358
SW	MAJ	-6.56956728557742
XR	MAJ	-8.26416300635183
XSN	MAJ	-4.1828661595222
EC	MAG	-1.91749379202332
EF	MAG	-5.88946526977526
EP	MAG	-12.9374171792507
ETM	MAG	-4.70564195863315
ETN	MAG	-7.11881903016589
IC	MAG	-5.08032331434818
JC	MAG	-5.78358337767183
JKC	MAG	-6.69616714988206
JKG	MAG	-5.22945564741519
JKV	MAG	-9.07668746821008
JKB	MAG	-2.15763831110426
JKO	MAG	-2.25135316132818
JKQ	MAG	-7.62175117436803
JKS	MAG	-1.97069411526347
JX	MAG	-1.45517259581757
MAJ	MAG	-4.0641592300214
MAG	MAG	-2.81666331257322
MM	MAG	-5.94119325228093
NNA	MAG	-2.69019808841175
NNB	MAG	-4.11937892885638
NP	MAG	-5.02170397986856
NR	MAG	-6.17295507009502
SE	MAG	-6.52806500403597
SF	MAG	-11.1456577100226
SO	MAG	-12.0211264473765
SP	MAG	-3.0568912383519
SS	MAG	-5.55342772127217
SW	MAG	-7.8314717053501
VCP	MAG	-13.6305643598106
VV	MAG	-13.6305643598106
VX	MAG	-12.5319520711425
XR	MAG	-9.7387440617
XSN	MAG	-5.28439676544649
EC	MM	-1.87427323263096
EF	MM	-6.33851388418535
EP	MM	-12.8650087437561
ETM	MM	-2.44621561743232
ETN	MM	-7.80241371072918
IC	MM	-4.73730889093837
JC	MM	-4.36353851280514
JKC	MM	-8.87602469719187
JKG	MM	-3.0143419674036
JKV	MM	-9.9205697645897
JKB	MM	-2.54858406827315
JKO	MM	-3.63056129643673
JKQ	MM	-8.15547854244381
JKS	MM	-2.73849764710638
JX	MM	-1.79696511925787
MAJ	MM	-3.25589225182259
MAG	MM	-2.3079207769629
MM	MM	-3.81108829105126
NNA	MM	-2.47404608106228
NNB	MM	-4.07489185086367
NP	MM	-5.56318640161821
NR	MM	-6.40981018041602
SE	MM	-6.31392840871274
SF	MM	-11.766396455088
SO	MM	-10.6677841664199
SP	MM	-2.61608921322733
SS	MM	-5.28788681287947
SW	MM	-7.3435478258939
VV	MM	-12.8650087437561
VX	MM	-12.1718615631962
XPN	MM	-12.8650087437561
XR	MM	-9.97463698585998
XSN	MM	-5.52677059369056
EC	NNA	-2.37830497365412
EF	NNA	-8.06721635252038
EP	NNA	-13.717070485151
ETM	NNA	-1.77415316689603
ETN	NNA	-6.01620957486511
IC	NNA	-6.23967836852308
JC	NNA	-3.68357492733594
JKC	NNA	-9.6269012943394
JKG	NNA	-2.36443701936484
JKV	NNA	-9.98537103385416
JKB	NNA	-2.64744245569593
JKO	NNA	-2.9951641590995
JKQ	NNA	-6.14662723309365
JKS	NNA	-3.17177181051476
JX	NNA	-2.56057713646169
MAJ	NNA	-4.59883169603622
MAG	NNA	-2.94271068043203
MM	NNA	-3.04461251074539
NNA	NNA	-1.76972323281833
NNB	NNA	-3.95937489406706
NP	NNA	-5.11590385995861
NR	NNA	-6.04874304929415
SE	NNA	-7.3877953117507
SF	NNA	-12.9061402689347
SO	NNA	-10.8620380937002
SP	NNA	-3.25402071754304
SS	NNA	-5.21572724316485
SW	NNA	-6.26054371998814
VA	NNA	-15.7965120268309
VCP	NNA	-13.3986167540325
VV	NNA	-12.3953146451687
VX	NNA	-12.3953146451687
XPN	NNA	-9.81257574614367
XR	NNA	-8.42188301161191
XSA	NNA	-14.6978997381627
XSN	NNA	-4.10920477511912
XSV	NNA	-15.1033648462709
EC	NNB	-5.55624694927141
EF	NNB	-11.8447248962601
